"ID","Judge1","Judge2","Judge3","Judge4","Mean.Rating","concat","clean_text","loa","mr_scaled","loa_scaled","cluster_km","cluster_hc"
"37009",3,3,4,3,3.25,"thirteen times thirteen equals one hundred sixty nine plus one hundred sixty nine equals three hundred thirty eight divided by by twenty six equals thirteen","thirteen time thirteen equal one hundr sixti nine plu one hundr sixti nine equal three hundr thirti eight divid by by twenti six equal thirteen",0.5,1.46747770638144,-0.936729440525739,1,1
"37491",2,1,3,1,1.75,"five plus eight sixteen minus three seventeen minus four eighteen minus five","five plu eight sixteen minu three seventeen minu four eighteen minu five",0.957427107756338,-0.504228121860922,0.193148563733599,4,3
"38002",2,1,3,2,2,"six plus seven minus seven plus six minus two plus three equals thirteen four hundred twenty minus four hundred seven equals thirteen sixty nine minus fifty six equals thirteen","six plu seven minu seven plu six minu two plu three equal thirteen four hundr twenti minu four hundr seven equal thirteen sixti nine minu fifti six equal thirteen",0.816496580927726,-0.175610483820528,-0.154960019453277,4,3
"38905",4,2,2.33333333333333,1,2.33333333333333,"eight times one to the power of zero times two hundred thirty seven point two five times four divided by by seventy three","eight time one to the power of zero time two hundr thirti seven point two five time four divid by by seventi three",1.24721912892465,0.262546366899997,0.908955792854667,4,2
"38930",3,2,3,NA,2.66666666666667,"open bracket ten plus three close bracket multiplied by zero plus thirteen equals thirteen","open bracket ten plu three close bracket multipli by zero plu thirteen equal thirteen",0.577350269189626,0.700703217620522,-0.745668687240756,1,1
"38981",2,2,4,4,3,"three open bracket three plus two close bracket minus twenty one divided by seven six open bracket six minus two close bracket divided by two plus six minus seven","three open bracket three plu two close bracket minu twenti one divid by seven six open bracket six minu two close bracket divid by two plu six minu seven",1.15470053837925,1.13886006834105,0.680428189943119,3,2
"39074",2,2,1,4,2.25,"open bracket three times seven minus one close bracket multiplied by two twenty six multiplied by two thirty nine multiplied by three open bracket five times five close bracket minus one multiplied by open bracket","open bracket three time seven minu one close bracket multipli by two twenti six multipli by two thirti nine multipli by three open bracket five time five close bracket minu one multipli by open bracket",1.25830573921179,0.153007154219866,0.936340521247093,4,2
"39415",1,1,1,1,1,"q","q",0,-1.4900810359821,-2.17176556442463,2,4
"39471",1,1,1,1,1,"nine plus ten equals twenty one","nine plu ten equal twenti one",0,-1.4900810359821,-2.17176556442463,2,4
"39774",2,1,1,2,1.5,"one plus one plus one plus one plus one plus one plus one plus one plus one plus one plus one plus one plus two","one plu one plu one plu one plu one plu one plu one plu one plu one plu one plu one plu one plu two",0.577350269189626,-0.832845759901315,-0.745668687240757,2,4
"39820",3,1,2,3,2.25,"three hundred   zero minus two hundred   zero minus one hundred   zero plus thirteen times  two halved equals thirteen","three hundr zero minu two hundr zero minu one hundr zero plu thirteen time two halv equal thirteen",0.957427107756338,0.153007154219866,0.193148563733599,4,3
"39904",2,1,1,1,1.25,"twenty four plus two minus thirteen","twenti four plu two minu thirteen",0.5,-1.16146339794171,-0.936729440525739,2,4
"40127",3,1,2,2,2,"thirteen plus thirteen plus twenty six divided by four","thirteen plu thirteen plu twenti six divid by four",0.816496580927726,-0.175610483820528,-0.154960019453277,4,3
"40355",5,1,4,6,4,"i feel unlucky on fridays  who am i ?","i feel unlucki on friday who am i",2.16024689946929,2.45333062050262,3.16420035034567,3,2
"40585",2,1,1.66666666666667,2,1.66666666666667,"one plus one times six plus one","one plu one time six plu one",0.471404520791032,-0.613767334541053,-1.00736234013229,2,4
"40625",2,2,2,3,2.25,"two hundred seventy three divded by twenty one equals thirteen","two hundr seventi three divd by twenti one equal thirteen",0.5,0.153007154219866,-0.936729440525739,1,1
"40649",3,1,3,2,2.25,"one plus one plus one plus one plus one plus one plus one plus one plus one plus one plus one plus one plus one equals thirteen six times two plus one equals thirteen four times four minus three equals thirteen three times three times three times three minus one equals thirteen two plus two plus two plus two plus two plus two plus one equals thirteen one plus two plus three plus four plus five minus two equals thirteen five times two plus three equals thirteen","one plu one plu one plu one plu one plu one plu one plu one plu one plu one plu one plu one plu one equal thirteen six time two plu one equal thirteen four time four minu three equal thirteen three time three time three time three minu one equal thirteen two plu two plu two plu two plu two plu two plu one equal thirteen one plu two plu three plu four plu five minu two equal thirteen five time two plu three equal thirteen",0.957427107756338,0.153007154219866,0.193148563733599,4,3
"40709",5,5,6,4,5,"a equals two l equals three e equals four x equals three al plus e plus x","a equal two l equal three e equal four x equal three al plu e plu x",0.816496580927726,3.7678011726642,-0.154960019453277,1,2
"40775",3,3,2,4,3,"what is sixty nine sheep minus fifty three sheep in the paddock","what is sixti nine sheep minu fifti three sheep in the paddock",0.816496580927726,1.13886006834105,-0.154960019453277,1,1
"40917",2,1,1,3,1.75,"thirteen plus thirteen minus thirteen fourteen minus one fourteen minus two fourteen minus three sixteen minus four sixteen minus five seventeen minus five","thirteen plu thirteen minu thirteen fourteen minu one fourteen minu two fourteen minu three sixteen minu four sixteen minu five seventeen minu five",0.957427107756338,-0.504228121860922,0.193148563733599,4,3
"41215",2,2,3,1,2,"i had five apples in one hand and eight apples in another  how many individual fruits am i holding altogether","i had five appl in one hand and eight appl in anoth how mani individu fruit am i hold altogeth",0.816496580927726,-0.175610483820528,-0.154960019453277,4,3
"41254",4,3,5,6,4.5,"if i have five unicorns collect another four unicorns from a wizard as a graduation present . then on a quest i lose my beloved sparkle . in my sorrow the princess of the land gives me another two horses and five unicorns as they are currently a rare speices . how many unicorns","if i have five unicorn collect anoth four unicorn from a wizard as a graduat present then on a quest i lose my belov sparkl in my sorrow the princess of the land give me anoth two hors and five unicorn as they are current a rare speic how mani unicorn",1.29099444873581,3.11056589658341,1.01708399545868,3,2
"41371",3,1,1,5,2.5,"what numbers form to merge as one body to create the number thirteen ?","what number form to merg as one bodi to creat the number thirteen",1.91485421551268,0.481624792260259,2.55806269189183,3,2
"41395",2,2,1,1,1.5,"six plus seven plus ten minus ten equals thirteen","six plu seven plu ten minu ten equal thirteen",0.577350269189626,-0.832845759901315,-0.745668687240757,2,4
"41426",3,2,3,3,2.75,"open bracket two open bracket twelve plus ten close bracket plus ten close bracket divided by four","open bracket two open bracket twelv plu ten close bracket plu ten close bracket divid by four",0.5,0.810242430300653,-0.936729440525739,1,1
"41630",2,1,1.66666666666667,2,1.66666666666667,"whats nine plus ten equals twenty one minus eight","what nine plu ten equal twenti one minu eight",0.471404520791032,-0.613767334541053,-1.00736234013229,2,4
"41894",2,1,1,2,1.5,"four hundred twenty minus four hundred ten plus three","four hundr twenti minu four hundr ten plu three",0.577350269189626,-0.832845759901315,-0.745668687240757,2,4
"41921",2,1,2,2,1.75,"two point five open bracket two point five close bracket plus eight","two point five open bracket two point five close bracket plu eight",0.5,-0.504228121860922,-0.936729440525739,2,4
"41966",4,1,2,1,2,"if cam has three minutes to come up with an idea  how many minutes does he really need .","if cam ha three minut to come up with an idea how mani minut doe he realli need",1.4142135623731,-0.175610483820528,1.32144410845239,4,2
"42020",2,5,4,4,3.75,"three cubed minus two squared plus open bracket seven minus five close bracket cubed","three cube minu two squar plu open bracket seven minu five close bracket cube",1.25830573921179,2.12471298246223,0.936340521247093,3,2
"42376",2,3,2,1,2,"open bracket three times four close bracket plus open bracket seven times three close bracket minus","open bracket three time four close bracket plu open bracket seven time three close bracket minu",0.816496580927726,-0.175610483820528,-0.154960019453277,4,3
"42631",3,3,1,2,2.25,"one hundred twenty minus eighty one divided by three","one hundr twenti minu eighti one divid by three",0.957427107756338,0.153007154219866,0.193148563733599,4,3
"43385",3,3,3,2,2.75,"two open bracket seven times two close bracket minus open bracket twelve plus three close bracket","two open bracket seven time two close bracket minu open bracket twelv plu three close bracket",0.5,0.810242430300653,-0.936729440525739,1,1
"43623",3,2,2,3,2.5,"one thousand minus five hundred minus nine hundred forty five plus thirteen minus two minus three","one thousand minu five hundr minu nine hundr forti five plu thirteen minu two minu three",0.577350269189626,0.481624792260259,-0.745668687240757,1,1
"43739",3,3,1,3,2.5,"four open bracket five times fivet minus fifty six plus twenty three close bracket times three open bracket nine hundred eighty three minus one thousand three hundred thirty seven minus thirty three minus two hundred twenty three close bracket zero open bracket twelve close bracket","four open bracket five time fivet minu fifti six plu twenti three close bracket time three open bracket nine hundr eighti three minu one thousand three hundr thirti seven minu thirti three minu two hundr twenti three close bracket zero open bracket twelv close bracket",1,0.481624792260259,0.298306683373154,4,3
"43816",2,1,1,2,1.5,"one plus one plus one plus one plus one plus one plus one plus one plus one plus one plus one minus one minus one minus one minus one minus one minus one minus one minus one minus one minus one plus thirteen","one plu one plu one plu one plu one plu one plu one plu one plu one plu one plu one minu one minu one minu one minu one minu one minu one minu one minu one minu one minu one plu thirteen",0.577350269189626,-0.832845759901315,-0.745668687240757,2,4
"43985",3,1,2,1,1.75,"seven times eight    minus one four","seven time eight minu one four",0.957427107756338,-0.504228121860922,0.193148563733599,4,3
"44079",3,2,2,4,2.75,"five watermelons befriend eight watermelons . how many watermelons are there ?","five watermelon befriend eight watermelon how mani watermelon are there",0.957427107756338,0.810242430300653,0.193148563733599,1,3
"44102",1,1,1,1,1,"fourteen minus one","fourteen minu one",0,-1.4900810359821,-2.17176556442463,2,4
"44198",2,1,1,1,1.25,"twelve plus one","twelv plu one",0.5,-1.16146339794171,-0.936729440525739,2,4
"44342",3,1,1,2,1.75,"open bracket thirteen times thirteen close bracket divided by two","open bracket thirteen time thirteen close bracket divid by two",0.957427107756338,-0.504228121860922,0.193148563733599,4,3
"44344",3,1,1,3,2,"four times six minus open bracket four divided by two close bracket plus one","four time six minu open bracket four divid by two close bracket plu one",1.15470053837925,-0.175610483820528,0.680428189943119,4,3
"44369",3,1,2.33333333333333,3,2.33333333333333,"ten multiplied by ten minus fifty divided by five plus eight equals thirteen","ten multipli by ten minu fifti divid by five plu eight equal thirteen",0.942809041582063,0.262546366899997,0.157040884160051,4,3
"44561",4,1,6,6,4.25,"take the number between one and three . multiply it by the number of eyes you have . square it . divide it by the number of hands you have . add the amount of fingers you have open bracket thumbs count close bracket add","take the number between one and three multipli it by the number of eye you have squar it divid it by the number of hand you have add the amount of finger you have open bracket thumb count close bracket add",2.3629078131263,2.78194825854301,3.66478744888321,3,2
"44579",3,2,2,3,2.5,"two open bracket three plus three close bracket plus two two plus nine plus two","two open bracket three plu three close bracket plu two two plu nine plu two",0.577350269189626,0.481624792260259,-0.745668687240757,1,1
"44698",3,2,2,2,2.25,"two open bracket five plus two close bracket minus one","two open bracket five plu two close bracket minu one",0.5,0.153007154219866,-0.936729440525739,1,1
"44701",3,2,2,2,2.25,"two open bracket two times three close bracket plus four minus one","two open bracket two time three close bracket plu four minu one",0.5,0.153007154219866,-0.936729440525739,1,1
"44892",2,1,1,1,1.25,"one plus one plus one plus one plus one plus one plus one plus one plus one plus one plus one plus one plus one","one plu one plu one plu one plu one plu one plu one plu one plu one plu one plu one plu one plu one",0.5,-1.16146339794171,-0.936729440525739,2,4
"45161",3,1,2,2,2,"eight equals eight plus eight times two times three equals","eight equal eight plu eight time two time three equal",0.816496580927726,-0.175610483820528,-0.154960019453277,4,3
"45249",4,2,6,3,3.75,"x plus y equals twenty six x minus y plus twenty six equals twenty six x equals thirteen y equals thirteen","x plu y equal twenti six x minu y plu twenti six equal twenti six x equal thirteen y equal thirteen",1.70782512765993,2.12471298246223,2.04668588749988,3,2
"45296",2,2,1,NA,1.66666666666667,"i am forty . in sixteen years time   i will be twice my daughter ' s current age","i am forti in sixteen year time i will be twice my daughter s current age",0.577350269189626,-0.613767334541053,-0.745668687240757,2,4
"45509",3,2,2,2,2.25,"twenty two times two plus five minus seven divided by by fourteen","twenti two time two plu five minu seven divid by by fourteen",0.5,0.153007154219866,-0.936729440525739,1,1
"45553",2,1,1,2,1.5,"one plus one plus one plus one plus one plus one plus one plus one plus one plus one plus one plus one plus one equals thirteen","one plu one plu one plu one plu one plu one plu one plu one plu one plu one plu one plu one plu one equal thirteen",0.577350269189626,-0.832845759901315,-0.745668687240757,2,4
